"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage","is_innate"
"Tidal Wave","[{'key': 'speed', 'header': 'SPEED:', 'value': '700'}, {'key': 'radius', 'header': 'RADIUS:', 'value': '750'}, {'key': 'damage', 'header': 'DAMAGE:', 'value': '180'}, {'key': 'duration', 'header': 'DURATION:', 'value': '1'}, {'key': 'knockback_distance', 'header': 'KNOCKBACK DISTANCE:', 'value': '600'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1400', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/kunkka_tidal_wave.png","['Point Target', 'Hidden']","Enemy","75","Releases a Tidal Wave that spawns behind Kunkka. Deals damage and drags enemies along it for the duration. Enemies cannot attack while being dragged.","12","Magical","['Hero', 'Basic']","Yes","No","","",""
"Tidebringer","[{'key': 'cleave_starting_width', 'header': 'CLEAVE STARTING WIDTH:', 'value': '150', 'generated': True}, {'key': 'cleave_ending_width', 'header': 'CLEAVE ENDING WIDTH:', 'value': ['500', '550', '600', '650'], 'generated': True}, {'key': 'cleave_distance', 'header': 'CLEAVE RANGE:', 'value': ['650', '800', '950', '1100']}, {'key': 'damage_bonus', 'header': 'DAMAGE BONUS:', 'value': ['30', '60', '90', '120']}, {'key': 'cleave_damage', 'header': 'CLEAVE DAMAGE:', 'value': '150%'}, {'key': 'movespeed_slow', 'header': 'MOVESPEED SLOW:', 'value': '0', 'generated': True}, {'key': 'movespeed_slow_duration', 'header': 'MOVESPEED SLOW DURATION:', 'value': '0', 'generated': True}, {'key': 'cooldown_reduction_per_hero_hit', 'header': 'HERO HIT COOLDOWN REDUCTION:', 'value': '0'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '150', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/kunkka_tidebringer.png","['Unit Target', 'Autocast', 'Attack Modifier']","Enemy","","Kunkka's legendary sword grants increased damage and cleaves a large area of effect in front of him for a single strike.","['13', '10', '7', '4']","Physical","['Hero', 'Basic']","","","A lost Claddish soul inhabits Kunkka's trusty Tidebringer, empowering it to destroy demons of the Cataract.","",""
"Tidebringer applies 60% slow for 1s","","","","","","","","","","","","","",""
"Timber Chain","[{'key': 'chain_radius', 'header': 'CHAIN RADIUS:', 'value': '90', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['750', '900', '1050', '1200'], 'generated': True}, {'key': 'radius', 'header': 'RADIUS:', 'value': '225'}, {'key': 'speed', 'header': 'SPEED:', 'value': ['2200', '2400', '2600', '2800']}, {'key': 'damage', 'header': 'DAMAGE:', 'value': ['50', '95', '140', '185']}, {'key': 'tree_splinter_count', 'header': 'TREE SPLINTER COUNT:', 'value': '0', 'generated': True}, {'key': 'tree_splinter_distance', 'header': 'TREE SPLINTER DISTANCE:', 'value': '0', 'generated': True}, {'key': 'tree_splinter_width', 'header': 'TREE SPLINTER WIDTH:', 'value': '0', 'generated': True}, {'key': 'tree_splinter_speed', 'header': 'TREE SPLINTER SPEED:', 'value': '0', 'generated': True}, {'key': 'tree_splinter_damage', 'header': 'SPLINTER DAMAGE:', 'value': '0'}, {'key': 'tree_splinter_slow_duration', 'header': 'SPLINTER SLOW DURATION:', 'value': '0'}, {'key': 'tree_splinter_slow_pct', 'header': 'SPLINTER SLOW:', 'value': '0%'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/shredder_timber_chain.png","Point Target","","['60', '70', '80', '90']","Timbersaw fires a chain that embeds itself in the first tree it hits, pulling him towards it. Any enemy in the path takes damage.","4","Pure","","","No","You never know when you might need to escape from malevolent saplings.","",""
"Time Dilation","[{'key': 'radius', 'header': 'RADIUS:', 'value': '775'}, {'key': 'duration', 'header': 'DURATION:', 'value': ['8', '9', '10', '11']}, {'key': 'slow', 'header': 'SLOW PER COOLDOWN:', 'value': ['7%', '8%', '9%', '10%']}, {'key': 'cooldown_percentage', 'header': 'COOLDOWN PROGRESSION SLOW:', 'value': ['30%', '40%', '50%', '60%']}, {'key': 'base_damage', 'header': 'BASE DAMAGE:', 'value': '0', 'generated': True}, {'key': 'damage_per_stack', 'header': 'BONUS DPS PER COOLDOWN:', 'value': ['7', '9', '11', '13']}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/faceless_void_time_dilation.png","No Target","","90","Faceless Void traps all nearby enemies in a time dilation field for 8 seconds, extending their cooldowns and slowing their movement and attack speed by 7% for each cooldown extended. Deals bonus damage per second for each cooldown. The debuff does not tick down while inside Chronosphere.","['28', '24', '20', '16']","Magical","","Yes","No","","",""
"Time Lapse","[{'key': 'cooldown_scepter', 'header': 'COOLDOWN SCEPTER:', 'value': '40', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '500', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/weaver_time_lapse.png","No Target","Friendly","['150', '75', '0']","Weaver warps backward to whatever position it was in five seconds earlier--regaining the HP and mana from that time. No effect on cooldown, gold or experience.

DISPEL TYPE: Strong Dispel","['70', '55', '40']","","Hero","","","If Skitskurr does not deem the current reality of the world to fit his desires, he simply crawls back in time to right what was wronged.","",""
"Time Lock","[{'key': 'duration', 'header': 'DURATION:', 'value': '0.5'}, {'key': 'duration_creep', 'header': 'DURATION CREEP:', 'value': '0.5', 'generated': True}, {'key': 'chance_pct', 'header': 'CHANCE:', 'value': ['12%', '16%', '20%', '24%']}, {'key': 'bonus_damage', 'header': 'BONUS DAMAGE:', 'value': ['12', '18', '24', '30']}, {'key': 'delay', 'header': 'DELAY:', 'value': '0.4', 'generated': True}]","/apps/dota2/images/dota_react/abilities/faceless_void_time_lock.png","Passive","","","Adds the chance for an attack to lock an enemy unit in time while attacking it a second time.","","Magical","","Strong Dispels Only","Yes","The strike of the Faceless Void lands with dimension shifting force.","",""
"Time Walk","[{'key': 'speed', 'header': 'SPEED:', 'value': '3000', 'generated': True}, {'key': 'range', 'header': 'RANGE:', 'value': ['650', '700', '750', '800']}, {'key': 'backtrack_duration', 'header': 'BACKTRACK DURATION:', 'value': '2'}, {'key': 'backtrack_time_walk_duration', 'header': 'ADDITIONAL BACKTRACK TIME:', 'value': '0'}, {'key': 'dodge_chance_pct', 'header': 'DODGE CHANCE PCT:', 'value': '100', 'generated': True}, {'key': 'radius', 'header': 'TIME LOCK RADIUS:', 'value': '0'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '0', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/faceless_void_time_walk.png","Point Target","","40","Rushes to a target location while backtracking any damage taken the last 2 seconds.","['24', '18', '12', '6']","","","","Yes","Darkterror tears a hole in time, passing through Claszureme, and appearing back in an instant.","",""
"Time Warp Aura","[{'key': 'bonus_cdr', 'header': 'COOLDOWN REDUCTION:', 'value': ['10%', '11%', '12%', '14%']}, {'key': 'radius', 'header': 'RADIUS:', 'value': '1200'}]","/apps/dota2/images/dota_react/abilities/frostbitten_golem_time_warp_aura.png","Passive","","","Coming from a different era, the Frostbitten Golem has an innate control of time, speeding up the cooldowns of all nearby allies.","","","","","","","",""
"Time Zone","[{'key': 'radius', 'header': 'RADIUS:', 'value': '900'}, {'key': 'duration', 'header': 'DURATION:', 'value': ['5', '5.5', '6']}, {'key': 'vision_radius', 'header': 'VISION RADIUS:', 'value': '675', 'generated': True}, {'key': 'bonus_attack_speed', 'header': 'ATTACK SPEED MANIPULATION:', 'value': ['70', '110', '150']}, {'key': 'bonus_move_speed', 'header': 'MOVEMENT SPEED MANIPULATION:', 'value': ['50%', '60%', '70%']}, {'key': 'bonus_cast_speed', 'header': 'CAST SPEED MANIPULATION:', 'value': ['40%', '50%', '60%']}, {'key': 'bonus_turn_speed', 'header': 'TURN SPEED MANIPULATION:', 'value': ['40%', '50%', '60%']}, {'key': 'bonus_projectile_speed', 'header': 'PROJECTILE SPEED MANIPULATION:', 'value': ['30%', '40%', '50%']}, {'key': 'yaw', 'header': 'YAW:', 'value': '45', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '625', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.35', 'generated': True}]","/apps/dota2/images/dota_react/abilities/faceless_void_time_zone.png","['AOE', 'Point Target']","","['150', '225', '300']","Creates a blister in spacetime, altering the movement, attack, cast, projectile, and turn rate speed of all units inside. Allies have increased speed and enemies have decreased speed.

Enemies are leashed inside the Time Zone.","['130', '120', '110']","","","No","Yes","","",""
"Tip the Scales","[{'key': 'damage_bonus', 'header': 'DAMAGE BONUS:', 'value': '100', 'generated': True}]","/apps/dota2/images/dota_react/abilities/elder_titan_tip_the_scales.png","Passive","","","Allied creeps and buildings affected by Glyph of Fortification or Roshan's Banner deal 100% bonus damage.","","","","","No","","",True
"To Hell and Back","[{'key': 'duration', 'header': 'DURATION:', 'value': '90', 'generated': True}, {'key': 'spell_amp', 'header': 'SPELL AMP:', 'value': '20', 'generated': True}, {'key': 'debuff_amp', 'header': 'DEBUFF AMP:', 'value': '20', 'generated': True}]","/apps/dota2/images/dota_react/abilities/lion_to_hell_and_back.png","Passive","","","Lion gains 20% debuff duration and 20% spell amplification for 90s after respawning.","","","","No","","","",True
"Toggle Movement","[]","/apps/dota2/images/dota_react/abilities/phoenix_sun_ray_toggle_move.png","['No Target', 'Instant Cast']","","","Toggles slow forward movement during Sun Ray firing.","","","","","","SQAWRK!","",""
"Tombstone","[{'key': 'tombstone_health', 'header': 'TOMBSTONE HEALTH:', 'value': ['20', '24', '28', '32'], 'generated': True}, {'key': 'hits_to_destroy_tooltip', 'header': 'ATTACKS TO DESTROY:', 'value': ['5', '6', '7', '8']}, {'key': 'duration', 'header': 'TOMBSTONE DURATION:', 'value': '30'}, {'key': 'radius', 'header': 'ZOMBIE SPAWN RADIUS:', 'value': '1200'}, {'key': 'health_threshold_pct_tooltip', 'header': 'DEATHLUST HEALTH THRESHOLD:', 'value': '40%'}, {'key': 'zombie_interval', 'header': 'ZOMBIE SPAWN INTERVAL:', 'value': ['4', '3.6', '3.2', '2.8']}, {'key': 'zombie_damage_tooltip', 'header': 'ZOMBIE ATTACK DAMAGE:', 'value': '34'}, {'key': 'zombie_health', 'header': 'ZOMBIE HEALTH:', 'value': '2', 'generated': True}, {'key': 'bunker_units', 'header': 'BUNKER UNITS:', 'value': '1', 'generated': True}, {'key': 'bunker_heal_pct', 'header': 'BUNKER HEAL PCT:', 'value': '0', 'generated': True}, {'key': 'tombstone_grab_radius', 'header': 'TOMBSTONE GRAB RADIUS:', 'value': '350', 'generated': True}, {'key': 'tombstone_bunker_cd', 'header': 'TOMBSTONE BUNKER CD:', 'value': '2', 'generated': True}, {'key': 'tombstone_stun_penalty', 'header': 'TOMBSTONE STUN PENALTY:', 'value': '2', 'generated': True}, {'key': 'zombie_damage_interval', 'header': 'ZOMBIE DAMAGE INTERVAL:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '500', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.6', 'generated': True}]","/apps/dota2/images/dota_react/abilities/undying_tombstone.png","Point Target","Friendly","['125', '150', '175', '200']","Summons a tombstone at the target point. Zombies will frequently spawn next to every enemy unit in the area around the Tombstone, and attack them. Zombies have the Deathlust ability, which causes their attacks to slow the target, and if the target reaches below a certain amount of health, increases the attack and movement speed of the zombie.","80","Physical","Hero","","No","Dirge calls on his fallen brothers to fight for the Dead God.","",""
"Tombstone On Death","","","","","","","","","","","","","",""
"Tornado","[{'key': 'duration', 'header': 'MAX CHANNEL DURATION:', 'value': '15'}, {'key': 'linger_duration', 'header': 'DURATION AFTER CHANNEL:', 'value': '5'}, {'key': 'tornado_base_movespeed', 'header': 'TORNADO BASE MOVESPEED:', 'value': ['125', '140', '155', '185'], 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '500', 'generated': True}, {'key': 'abilitychanneltime', 'header': 'CHANNEL TIME:', 'value': '10', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.4', 'generated': True}]","/apps/dota2/images/dota_react/abilities/enraged_wildkin_tornado.png","Point Target","Enemy","100","CHANNELED - The Wildwing calls on the spirit of the wind, creating a sentient Tornado that he can control. The Tornado slows nearby enemies and does damage. It is invulnerable and can move anywhere.","['40', '36', '32', '26']","Magical","['Hero', 'Basic']","No","","","",""
"Tornado","[{'key': 'travel_distance', 'header': 'TRAVEL DISTANCE (WEX):\\n', 'value': ['1500', '1800', '2100', '2400', '2700', '3000', '3300', '3600']}, {'key': 'travel_speed', 'header': 'TRAVEL SPEED:', 'value': '1000', 'generated': True}, {'key': 'area_of_effect', 'header': 'RADIUS:', 'value': '200'}, {'key': 'vision_distance', 'header': 'VISION DISTANCE:', 'value': '200', 'generated': True}, {'key': 'end_vision_duration', 'header': 'END VISION DURATION:', 'value': '1.75', 'generated': True}, {'key': 'lift_duration', 'header': 'LIFT TIME (QUAS):\\n', 'value': ['1.2', '1.4', '1.6', '1.8', '2', '2.2', '2.4', '2.6']}, {'key': 'base_damage', 'header': 'BASE DAMAGE:', 'value': '50'}, {'key': 'quas_damage', 'header': 'QUAS DAMAGE:', 'value': '0', 'generated': True}, {'key': 'wex_damage', 'header': 'ADDED DAMAGE (WEX):', 'value': ['45', '90', '135', '180', '225', '270', '315', '360']}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '2000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.05', 'generated': True}]","/apps/dota2/images/dota_react/abilities/invoker_tornado.png","['Point Target', 'Hidden']","","140","Unleashes a fast moving tornado that picks up enemy units in its path, suspending them helplessly in the air shortly before allowing them to plummet to their doom. Travels further based on the level of Wex . Holds enemies in the air for a duration based on the level of Quas . Deals base damage plus added damage based on levels in Wex .

DISPEL TYPE: Basic Dispel","27","Magical","","Yes","No","Claws of Tornarus.","",""
"Tornado (AD)","[{'key': 'travel_distance', 'header': 'TRAVEL DISTANCE:\\n', 'value': ['1200', '1865', '2530', '3200']}, {'key': 'travel_speed', 'header': 'TRAVEL SPEED:', 'value': '1000', 'generated': True}, {'key': 'area_of_effect', 'header': 'RADIUS:', 'value': '200'}, {'key': 'vision_distance', 'header': 'VISION DISTANCE:', 'value': '200', 'generated': True}, {'key': 'end_vision_duration', 'header': 'END VISION DURATION:', 'value': '1.75', 'generated': True}, {'key': 'lift_duration', 'header': 'LIFT TIME:\\n', 'value': ['1.1', '1.6', '2.1', '2.6']}, {'key': 'base_damage', 'header': 'BASE DAMAGE:', 'value': '70'}, {'key': 'quas_damage', 'header': 'QUAS DAMAGE:', 'value': '0', 'generated': True}, {'key': 'wex_damage', 'header': 'ADDED DAMAGE:', 'value': ['90', '165', '240', '315']}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '2000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.05', 'generated': True}]","/apps/dota2/images/dota_react/abilities/invoker_tornado_ad.png","Point Target","","140","Unleashes a fast moving tornado that picks up enemy units in its path, suspending them helplessly in the air shortly before allowing them to plummet to their doom. Travels further based on the level and holds enemies in the air for a duration.

DISPEL TYPE: Basic Dispel","30","Magical","","Yes","No","Claws of Tornarus.","",""
"Torrent","[{'key': 'radius', 'header': 'RADIUS:', 'value': '250'}, {'key': 'movespeed_bonus', 'header': 'MOVE SLOW:', 'value': '-40%'}, {'key': 'slow_duration', 'header': 'SLOW DURATION:', 'value': ['1', '2', '3', '4']}, {'key': 'stun_duration', 'header': 'STUN DURATION:', 'value': '1.4'}, {'key': 'delay', 'header': 'DELAY:', 'value': '1.6'}, {'key': 'torrent_damage', 'header': 'DAMAGE:', 'value': ['80', '160', '240', '320']}, {'key': 'percent_instant', 'header': 'PERCENT INSTANT:', 'value': '0', 'generated': True}, {'key': 'damage_tick_interval', 'header': 'DAMAGE TICK INTERVAL:', 'value': '0.2', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1300', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.4', 'generated': True}]","/apps/dota2/images/dota_react/abilities/kunkka_torrent.png","['AOE', 'Point Target']","","90","Summons a rising torrent that, after a short delay, hurls enemy units into the sky, stunning, dealing damage and slowing movement speed.","['16', '14', '12', '10']","Magical","","Yes","No","An ancestral rush of water explodes from the center of the world, called upon by the Admiral.","",""
"Torrent Storm","[{'key': 'torrent_interval', 'header': 'TORRENT INTERVAL:', 'value': '0.25', 'generated': True}, {'key': 'torrent_duration', 'header': 'TORRENT DURATION:', 'value': '4', 'generated': True}, {'key': 'torrent_min_distance', 'header': 'TORRENT MIN DISTANCE:', 'value': '115', 'generated': True}, {'key': 'torrent_max_distance', 'header': 'TORRENT MAX DISTANCE:', 'value': '1100', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '900', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.4', 'generated': True}]","/apps/dota2/images/dota_react/abilities/kunkka_torrent_storm.png","['Point Target', 'AOE', 'Hidden']","","275","Releases a visible Torrent in a random area within 1100 range of the target position once every 0.25 for 4 seconds.","75","Magical","","No","No","A hundred leagues of dry land couldn't keep these seas at bay.","",""
"Toss","[{'key': 'duration', 'header': 'DURATION:', 'value': '1', 'generated': True}, {'key': 'grab_radius', 'header': 'GRAB RADIUS:', 'value': '300', 'generated': True}, {'key': 'radius', 'header': 'RADIUS:', 'value': '275', 'generated': True}, {'key': 'bonus_damage_pct', 'header': 'BONUS DAMAGE PCT:', 'value': '20', 'generated': True}, {'key': 'grow_bonus_damage_pct', 'header': 'GROW BONUS DAMAGE PCT:', 'value': '35', 'generated': True}, {'key': 'toss_damage', 'header': 'TOSS DAMAGE:', 'value': '500', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1300', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/roshan_halloween_toss.png","['Unit Target', 'AOE']","[]","0","Roshan tosses a nearby enemy unit at an enemy that is further away.","5","Magical","[]","","","","",""
"Toss","[{'key': 'duration', 'header': 'DURATION:', 'value': '1.4', 'generated': True}, {'key': 'grab_radius', 'header': 'GRAB RADIUS:', 'value': '300', 'generated': True}, {'key': 'radius', 'header': 'RADIUS:', 'value': '275'}, {'key': 'bonus_damage_pct', 'header': 'BONUS DAMAGE PCT:', 'value': '0', 'generated': True}, {'key': 'toss_damage', 'header': 'DAMAGE:', 'value': ['80', '160', '240', '320']}, {'key': 'abilitycharges', 'header': 'MAX CHARGES:', 'value': '', 'generated': True}, {'key': 'land_movement_slow', 'header': 'MOVEMENT SLOW:', 'value': '0%'}, {'key': 'land_attack_slow', 'header': 'ATTACK SLOW:', 'value': '0'}, {'key': 'bonus_land_damage_pct', 'header': 'BONUS LANDING DAMAGE:', 'value': '0%'}, {'key': 'land_debuff_duration', 'header': 'SLOW DURATION:', 'value': '0'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['800', '900', '1000', '1100'], 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/tiny_toss.png","['Unit Target', 'AOE']","[]","['110', '125', '140', '155']","Grabs the nearest unit in a 300 radius around Tiny, ally or enemy, and launches it at the target unit or rune to deal damage where they land.","['20', '17', '14', '11']","Magical","[]","","","Tiny's gargantuan stature allows him to catapult even the sturdiest of warriors.","",""
"Toss Requires No Target","","","","","","","","","","","","","",""
"Toughness Aura","[{'key': 'bonus_armor', 'header': 'BONUS ARMOR:', 'value': '3'}, {'key': 'radius', 'header': 'RADIUS:', 'value': '1200'}]","/apps/dota2/images/dota_react/abilities/enraged_wildkin_toughness_aura.png","Passive","","","The Wildwing Ripper's fury numbs it to attacks and inspires nearby allies to withstand more blows.","","","","","","","",""
"Track","[{'key': 'target_damage_amp', 'header': 'DAMAGE AMPLIFICATION:', 'value': ['6%', '12%', '18%']}, {'key': 'bonus_gold_radius', 'header': 'BONUS GOLD RADIUS:', 'value': '1200', 'generated': True}, {'key': 'bonus_gold_self', 'header': 'SELF BONUS GOLD:', 'value': ['130', '225', '320']}, {'key': 'bonus_gold', 'header': 'ALLIES BONUS GOLD:', 'value': ['40', '80', '120']}, {'key': 'duration', 'header': 'DURATION:', 'value': '25'}, {'key': 'gold_steal', 'header': 'GOLD STEAL:', 'value': ['0.3', '0.4', '0.5'], 'generated': True}, {'key': 'bonus_move_speed_pct', 'header': 'SELF BONUS SPEED:', 'value': ['16%', '20%', '24%']}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/bounty_hunter_track.png","Unit Target","Enemy","60","Tracks an enemy hero, granting True Sight of the target, increasing the damage they take and providing information on how much gold it is carrying. Bounty Hunter moves fast when near the tracked unit. If the target dies, Bounty Hunter and nearby heroes collect a bonus bounty of gold. Casting Track does not take you out of invisibility.","['6', '5', '4']","","Hero","Yes","Yes","Using his elevated senses of sight and smell, Gondar's hits have quite a good chance of success.","",""
"Track Grants Shared Vision","","","","","","","","","","","","","",""
"Trample","[{'key': 'effect_radius', 'header': 'DAMAGE AOE:', 'value': '230'}, {'key': 'step_distance', 'header': 'STEP DISTANCE:', 'value': '140', 'generated': True}, {'key': 'base_damage', 'header': 'BASE DAMAGE:', 'value': ['15', '30', '45', '60']}, {'key': 'duration', 'header': 'DURATION:', 'value': '5.5'}, {'key': 'attack_damage', 'header': 'ATTACK DAMAGE MULTIPLIER:', 'value': '35%'}, {'key': 'bonus_magic_resistance', 'header': 'BONUS MAGIC RESISTANCE:', 'value': '0', 'generated': True}, {'key': 'unslowable', 'header': 'UNSLOWABLE:', 'value': '0', 'generated': True}, {'key': 'proc_attack_modifiers', 'header': 'PROC ATTACK MODIFIERS:', 'value': '0', 'generated': True}, {'key': 'bonus_movespeed_pct_self', 'header': 'SELF BONUS MOVE SPEED:', 'value': '0%'}, {'key': 'bonus_movespeed_pct_allies', 'header': 'ALLIED BONUS MOVE SPEED:', 'value': '0%'}, {'key': 'aura_radius', 'header': 'AURA RADIUS:', 'value': '0'}]","/apps/dota2/images/dota_react/abilities/primal_beast_trample.png","['No Target', 'Instant Cast']","","90","Primal Beast stomps over everything. For every 140 units traveled, all enemies around the Beast receive damage. Deals base damage plus a multiplier of Primal Beast's attack damage. Primal Beast is disarmed for the duration of the ability.","['30', '27', '24', '21']","Magical","","No","No","As the only member of his species to arrive on this world, locals can only speculate on the Beast's size relative to his kin. Such observation would prove easier of course if the subject didn't eat everything it sees and destroy most of what it doesn't.","",""
"Transfer Items","[{'key': 'handoff_distance', 'header': 'HANDOFF DISTANCE:', 'value': '400', 'generated': True}]","/apps/dota2/images/dota_react/abilities/courier_transfer_items.png","No Target","","","Transfer items to hero","","","","","","","",""
"Trap","[]","/apps/dota2/images/dota_react/abilities/templar_assassin_self_trap.png","['No Target', 'Instant Cast']","","0","Springs the trap, slowing nearby enemies.","0.5","","","Yes","No","","",""
"Trap","[]","/apps/dota2/images/dota_react/abilities/templar_assassin_trap.png","['No Target', 'Instant Cast']","","0","Springs the trap nearest to Templar Assassin, slowing nearby enemies. 

If the ability is in alt-cast state, springs the trap that is closest to the mouse cursor.","0.5","","","Yes","No","","",""
"Tree Dance","[{'key': 'leap_speed', 'header': 'LEAP SPEED:', 'value': '700', 'generated': True}, {'key': 'spring_leap_speed', 'header': 'SPRING LEAP SPEED:', 'value': '1300', 'generated': True}, {'key': 'give_up_distance', 'header': 'GIVE UP DISTANCE:', 'value': '1850', 'generated': True}, {'key': 'ground_jump_distance', 'header': 'GROUND JUMP DISTANCE:', 'value': '800', 'generated': True}, {'key': 'perched_jump_distance', 'header': 'DISTANCE:', 'value': '800'}, {'key': 'jump_damage_cooldown', 'header': 'DAMAGE COOLDOWN:', 'value': '3'}, {'key': 'perched_day_vision', 'header': 'PERCHED DAY VISION:', 'value': '700', 'generated': True}, {'key': 'perched_night_vision', 'header': 'PERCHED NIGHT VISION:', 'value': '500', 'generated': True}, {'key': 'perched_spot_height', 'header': 'PERCHED SPOT HEIGHT:', 'value': '192', 'generated': True}, {'key': 'unperched_stunned_duration', 'header': 'UNPERCHED STUNNED DURATION:', 'value': '4', 'generated': True}, {'key': 'top_level_height', 'header': 'TOP LEVEL HEIGHT:', 'value': '500', 'generated': True}, {'key': 'impact_damage_tooltip', 'header': 'IMPACT DAMAGE TOOLTIP:', 'value': ['140', '210', '280', '350'], 'generated': True}, {'key': 'impact_movement_slow_tooltip', 'header': 'IMPACT MOVEMENT SLOW TOOLTIP:', 'value': ['20', '40', '60', '80'], 'generated': True}, {'key': 'range', 'header': 'RANGE:', 'value': '800', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '800', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/monkey_king_tree_dance.png","Unit Target","Enemy","0","Monkey King jumps to a tree and perches atop it. While perched, he gains the Primal Spring ability-a channeled leap attack. If Monkey King's tree is destroyed, he falls and is stunned for 4 seconds. Taking damage while on the ground puts Tree Dance on cooldown.","['1.40', '1.2', '1', '0.8']","","Tree","","","Sun Wukong dances nimbly along the treetop canopy, always just out of arm's reach.","",""
"Tree Grab","[{'key': 'attack_count', 'header': 'NUMBER OF ATTACKS:', 'value': '5'}, {'key': 'bonus_damage', 'header': 'BONUS BASE DAMAGE:', 'value': ['10', '20', '30', '40']}, {'key': 'bonus_damage_buildings', 'header': 'BONUS BUILDING DAMAGE:', 'value': ['30%', '40%', '50%', '60%']}, {'key': 'attack_range', 'header': 'ATTACK RANGE:', 'value': '350'}, {'key': 'splash_width', 'header': 'SPLASH WIDTH:', 'value': '200', 'generated': True}, {'key': 'splash_range', 'header': 'SPLASH RANGE:', 'value': '400', 'generated': True}, {'key': 'splash_pct', 'header': 'SPLASH DAMAGE:', 'value': ['55%', '70%', '85%', '100%']}, {'key': 'bat_increase', 'header': 'BAT INCREASE:', 'value': '0', 'generated': True}, {'key': 'speed_reduction', 'header': 'SPEED REDUCTION:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '165', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/tiny_tree_grab.png","Unit Target","[]","40","Grabs a tree to whack enemies on the head for a limited number of attacks. Grants bonus attack range. Attacks deal more damage and fully splash on units along the way. The tree can be thrown, to deal your attack to a unit at a distance.","['16', '15', '14', '13']","Physical","Tree","No","Yes","","",""
